from_trip_id,to_stop_id,from_stop_id,to_trip_id,transfer_type,min_transfer_time
,11716,11719,,0,240
,8743,8743,,0,240
,1572,8045,,0,240
,3449,3565,,2,480
,12916,12155,,2,300
,12869,12869,,0,240
,11283,160,,2,300
,11604,11598,,2,360
,35,96,,2,480
,78,189,,2,300
,9530,317,,0,240
,11759,10959,,2,420
,12954,12902,,0,240
,3206,3206,,0,240
,1709,1482,,0,240
,1254,709,,0,240
,301,646,,2,300
,3449,3594,,2,300
,3053,3195,,0,240
,8746,12147,,0,240
,12205,6730,,2,360
,12736,4045,,2,360
,12375,8535,,2,300
,317,9530,,2,300
,12666,1160,,2,300
,8679,8757,,0,240
,8615,5003,,2,360
,11653,11785,,2,480
,11732,2320,,0,240
,1156,1197,,2,300
,3394,12234,,0,240
,7167,12293,,2,300
,3806,3822,,0,240
,6727,5216,,2,120
,1546,1728,,0,240
,4882,10399,,2,300
,10643,11593,,2,300
,11704,5436,,0,240
,11289,11256,,0,240
,3333,3954,,2,300
,8044,8754,,2,360
,4471,4459,,0,240
,1156,1156,,0,240
,7214,7214,,0,240
,8039,40,,2,300
,95,8038,,2,600
,4496,4881,,2,420
,8674,8743,,2,360
,8689,12147,,0,240
,2708,2708,,0,240
,766,8394,,0,240
,758,1980,,2,300
,938,78,,2,360
,5989,10929,,0,240
,12234,3533,,0,240
,8351,5040,,2,360
,11685,3708,,2,480
,2899,8710,,2,120
,5436,8854,,0,240
,12681,9112,,2,420
,3156,3091,,2,360
,6512,6512,,0,240
,3769,3334,,0,240
,1151,1355,,0,240
,6077,11858,,0,240
,5756,5756,,0,240
,12424,10647,,2,120
,3334,12234,,0,240
,1231,8763,,2,300
,6039,10189,,0,240
,8075,10492,,2,360
,9136,12791,,2,480
,10914,7639,,0,240
,3904,3334,,0,240
,5633,11858,,0,240
,3542,3619,,0,240
,6984,8065,,0,240
,11712,11765,,0,240
,12664,155,,2,300
,850,1206,,2,360
,8068,1173,,2,300
,423,11280,,2,300
,3394,3904,,0,240
,6000,5464,,0,240
,5031,11701,,2,360
,2081,405,,0,240
,11272,985,,2,300
,8802,1870,,2,300
,12332,12020,,0,240
,4962,4961,,0,240
,4015,4055,,2,300
,6610,6610,,0,240
,5140,5021,,0,240
,1413,1413,,0,240
,10437,6194,,0,240
,5991,2410,,0,240
,569,60,,0,240
,3159,3239,,0,240
,11704,13013,,0,240
,5122,5494,,2,120
,11905,6107,,0,240
,8680,8748,,0,240
,8758,8697,,0,240
,5547,6313,,2,360
,4052,4052,,0,240
,231,185,,0,240
,5769,5122,,0,240
,7095,12173,,2,300
,5854,9721,,0,240
,5436,6174,,0,240
,1892,1892,,0,240
,8021,3334,,2,120
,11256,11288,,0,240
,11246,11256,,0,240
,10867,8036,,0,240
,8028,7768,,2,120
,11704,5542,,0,240
,12043,7644,,2,360
,411,11638,,2,300
,859,8034,,2,480
,26,11427,,2,360
,11367,4456,,0,240
,4494,11524,,2,360
,8748,8659,,0,240
,10017,8758,,0,240
,4491,11866,,0,240
,11283,12975,,2,360
,8035,8034,,2,480
,12361,11792,,2,420
,860,860,,0,240
,5183,5183,,0,240
,1070,1156,,0,240
,8074,181,,0,240
,5891,10881,,2,300
,5325,5389,,0,240
,8060,11882,,0,240
,1442,11682,,0,240
,6088,5542,,0,240
,12206,12220,,2,120
,13096,12717,,2,360
,12946,8368,,2,360
,1334,6992,,2,480
,1685,11674,,2,300
,7468,7468,,0,240
,12020,8020,,2,120
,11716,8064,,0,240
,3954,3333,,0,240
,5769,11882,,0,240
,6949,2101,,0,240
,951,1242,,0,240
,11874,8759,,0,240
,12567,11876,,2,360
,3825,9378,,2,360
,11221,11260,,2,420
,132,296,,0,240
,3053,12234,,0,240
,4922,4936,,2,300
,3281,9342,,2,300
,12666,12665,,2,360
,6466,6466,,0,240
